Temporal Difference ,Q-Learning,QL increase,Average Reward-TD,Average Reward-QL,QL increase
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
-200.00,-200.00,,,,
